comarca,codi_variable,data_lectura,valor_lectura
Vallès Oriental,35,2009-09-27,0.0
Vallès Oriental,35,2009-09-28,0.0
Vallès Oriental,35,2009-09-29,0.0
Vallès Oriental,35,2009-09-30,0.1
Vallès Oriental,35,2009-10-01,20.3
Vallès Oriental,35,2009-10-02,0.4
Vallès Oriental,35,2009-10-03,0.1
Vallès Oriental,35,2009-10-04,0.0
Vallès Oriental,35,2009-10-05,0.0
Vallès Oriental,35,2009-10-06,0.2
Vallès Oriental,35,2009-10-07,0.0
Vallès Oriental,35,2009-10-08,0.2
Vallès Oriental,35,2009-10-09,0.7000000000000001
Vallès Oriental,35,2009-10-10,8.4
Vallès Oriental,35,2009-10-11,0.1
Vallès Oriental,35,2009-10-12,0.30000000000000004
Vallès Oriental,35,2009-10-13,0.2
Vallès Oriental,35,2009-10-14,0.0
Vallès Oriental,35,2009-10-15,0.0
Vallès Oriental,35,2009-10-16,0.0
Vallès Oriental,35,2009-10-17,0.0
Vallès Oriental,35,2009-10-18,0.0
Vallès Oriental,35,2009-10-19,0.0
Vallès Oriental,35,2009-10-20,64.8
Vallès Oriental,35,2009-10-21,94.5
Vallès Oriental,35,2009-10-22,94.0
Vallès Oriental,35,2009-10-23,0.7000000000000001
Vallès Oriental,35,2009-10-24,0.30000000000000004
Vallès Oriental,35,2009-10-25,0.0
Vallès Oriental,35,2009-10-26,0.0
Vallès Oriental,35,2009-10-27,0.5
Vallès Oriental,35,2009-10-28,0.2
Vallès Oriental,35,2009-10-29,0.0
Vallès Oriental,35,2009-10-30,0.2
Vallès Oriental,35,2009-10-31,0.2
Vallès Oriental,35,2009-11-01,0.2
Vallès Oriental,35,2009-11-02,1.2999999999999998
Vallès Oriental,35,2009-11-03,0.0
Vallès Oriental,35,2009-11-04,0.0
Vallès Oriental,35,2009-11-05,0.0
Vallès Oriental,35,2009-11-06,0.0
Vallès Oriental,35,2009-11-07,9.7
Vallès Oriental,35,2009-11-08,0.1
Vallès Oriental,35,2009-11-09,0.0
Vallès Oriental,35,2009-11-10,0.0
Vallès Oriental,35,2009-11-11,0.0
Vallès Oriental,35,2009-11-12,0.0
Vallès Oriental,35,2009-11-13,0.1
Vallès Oriental,35,2009-11-14,0.2
Vallès Oriental,35,2009-11-15,0.1
Vallès Oriental,35,2009-11-16,0.0
Vallès Oriental,35,2009-11-17,0.0
Vallès Oriental,35,2009-11-18,0.1
Vallès Oriental,35,2009-11-19,0.0
Vallès Oriental,35,2009-11-20,0.1
Vallès Oriental,35,2009-11-21,0.1
Vallès Oriental,35,2009-11-22,0.6000000000000001
Vallès Oriental,35,2009-11-23,0.1
Vallès Oriental,35,2009-11-24,0.1
Vallès Oriental,35,2009-11-25,0.1
Vallès Oriental,35,2009-11-26,0.8
Vallès Oriental,35,2009-11-27,3.5
Vallès Oriental,35,2009-11-28,0.1
Vallès Oriental,35,2009-11-29,22.599999999999998
Vallès Oriental,35,2009-11-30,0.4
Vallès Oriental,35,2009-12-01,0.0
Vallès Oriental,35,2009-12-02,0.30000000000000004
Vallès Oriental,35,2009-12-03,0.0
Vallès Oriental,35,2009-12-04,0.1
Vallès Oriental,35,2009-12-05,0.1
Vallès Oriental,35,2009-12-06,0.1
