comarca;municipi;codiE;lat;lon;alt;data_alta;data_baixa;estat_actual 
Conca de Barberà;Santa Coloma de Queralt;UJ;41.52879;1.36830;709;19/11/1996;;Operativa
Garraf;Canyelles;XU;41.28801;1.72195;148;16/07/2013;;Operativa
Garraf;Sant Pere de Ribes;UK;41.27861;1.80479;161;11/05/1999;;Operativa
Garraf;Vilanova i la Geltrú;YR;41.23575;1.73148;31;13/04/2023;;Operativa
Garrigues;Castelldans;UL;41.52911;0.75303;228;16/09/1997;21/02/2017;Desmantellada
Garrigues;La Granadella;UM;41.35991;0.66789;505;30/01/1992;;Operativa
Garrigues;Les Borges Blanques;YD;41.51135;0.85617;283;25/01/2017;;Operativa
Garrotxa;La Vall d'en Bas;W9;42.14557;2.45451;461;16/03/2000;;Operativa
Garrotxa;Olot;DC;42.19144;2.48263;422;24/04/1998;21/07/2016;Desmantellada
Garrotxa;Olot;YB;42.18813;2.47097;433;21/07/2016;;Operativa
Gironès;Cassà de la Selva;UN;41.87449;2.92694;171;08/03/1993;;Operativa
Gironès;Fornells de la Selva;UO;41.91461;2.82069;97;10/11/1998;;Operativa
Gironès;Girona;DM;41.96012;2.80696;90;10/05/2001;15/09/2010;Desmantellada
Gironès;Girona;XJ;41.98223;2.80686;72;15/09/2010;;Operativa
Gironès;Vilablareix;WF;41.95425;2.77578;108;11/04/2001;01/10/2015;Desmantellada
Maresme;Cabrils;UP;41.51773;2.37702;81;27/11/1995;;Operativa
Maresme;Dosrius;UQ;41.61991;2.44532;460;09/08/1996;;Operativa
Maresme;Malgrat de Mar;UR;41.64908;2.75209;2;09/01/1990;04/05/2005;Desmantellada
Maresme;Malgrat de Mar;WT;41.64707;2.75658;2;04/05/2005;;Operativa
Maresme;Vilassar de Mar;DD;41.51175;2.38674;44;04/05/1998;16/01/2015;Desmantellada
Montsià;Alcanar;US;40.55786;0.52329;24;06/05/1991;;Operativa
Montsià;Alcanar;UT;40.55219;0.53252;3;31/08/1993;11/11/2001;Desmantellada
Montsià;Amposta;UU;40.70776;0.63210;3;06/02/1992;;Operativa
Montsià;La Ràpita;UW;40.62725;0.65922;0;06/07/1994;;Operativa
Montsià;Mas de Barberans;C9;40.71825;0.39988;240;11/04/1997;;Operativa
Montsià;Mas de Barberans;UV;40.71727;0.41633;205;17/11/1992;03/01/2011;Desmantellada
Montsià;Sant Jaume d'Enveja;DL;40.70719;0.83449;0;14/07/1999;;Operativa
Montsià;Ulldecona;UX;40.62652;0.37112;210;15/11/1990;;Operativa
Noguera;Albesa;WB;41.76036;0.67022;267;21/06/1999;;Operativa
Noguera;Algerri;WG;41.80104;0.64804;301;13/12/2000;;Operativa
Noguera;Artesa de Segre;X6;41.92173;1.02901;366;24/10/2006;;Operativa
Noguera;Camarasa;WX;41.91780;0.88175;668;07/03/2006;;Operativa
Noguera;Oliola;WA;41.87694;1.15410;443;26/03/2001;;Operativa
Noguera;Os de Balaguer;UY;41.87912;0.76103;576;07/07/1995;;Operativa
Noguera;Vallfogona de Balaguer;V1;41.78487;0.82939;238;17/10/1990;;Operativa
Noguera;Vilanova de Meià;CQ;41.99546;1.02569;594;01/04/1996;;Operativa
Osona;Gurb;V3;41.95224;2.23271;509;31/03/1999;15/11/2022;Desmantellada
Osona;Montesquiu;V4;42.11477;2.21483;684;02/12/1998;;Operativa
Osona;Muntanyola;CY;41.87813;2.17873;816;12/01/1996;;Operativa
Osona;Orís;CC;42.07398;2.20862;626;15/11/1995;;Operativa
Osona;Perafita;V5;42.03947;2.11993;774;03/07/1995;;Operativa
Osona;Vic;CX;41.93582;2.23857;498;18/01/1996;01/01/2003;Desmantellada
Osona;Vic;XO;41.93497;2.23987;499;22/12/2011;;Operativa
Osona;Viladrau;CS;41.84502;2.38810;777;05/12/1995;08/06/2004;Desmantellada
Osona;Viladrau;V6;41.84256;2.42636;871;03/10/1995;29/03/2005;Desmantellada
Osona;Viladrau;WS;41.84008;2.41877;953;17/03/2005;;Operativa
Osona;Vilanova de Sau;KE;41.96867;2.41404;426;05/01/1996;;Operativa
Osona;Vilanova de Sau;V7;41.97554;2.39837;435;20/05/1997;02/05/2006;Desmantellada
Pallars Jussà;Isona i Conca Dellà;CP;42.13924;1.03893;690;20/05/1996;;Operativa
Pallars Jussà;La Pobla de Segur;CV;42.23939;0.96434;513;22/12/1995;18/11/2016;Desmantellada
Pallars Jussà;La Pobla de Segur;YC;42.24388;0.96802;508;18/11/2016;;Operativa
Pallars Jussà;Sant Esteve de la Sarga;WQ;42.05130;0.72952;1572;17/06/2003;;Operativa
Pallars Jussà;Tremp;XQ;42.16252;0.88814;473;22/10/2012;;Operativa
Pallars Sobirà;Alins;ZB;42.51939;1.36597;2451;30/09/2004;;Operativa
Pallars Sobirà;Alt Àneu;Z1;42.64691;0.98486;2266;06/11/1997;;Operativa
Pallars Sobirà;Espot;Z7;42.53412;1.05476;2519;01/03/2002;;Operativa
Pallars Sobirà;Lladorre;Z5;42.70029;1.27201;2400;11/11/2000;;Operativa
Pallars Sobirà;Sort;XH;42.40533;1.12993;679;31/07/2009;;Operativa
Pallars Sobirà;Tírvia;YG;42.51881;1.24244;954;11/01/2018;;Operativa
Pla d'Urgell;Bellvís;WH;41.67342;0.81290;196;17/09/1997;17/11/2004;Desmantellada
Pla d'Urgell;Castellnou de Seana;C6;41.65660;0.95172;264;16/12/1995;;Operativa
Pla d'Urgell;El Poal;V8;41.67279;0.87741;223;14/09/1989;;Operativa
Pla d'Urgell;Golmés;WC;41.63642;0.92446;261;08/08/2000;;Operativa
Pla d'Urgell;Miralcamp;V9;41.61333;0.87608;256;26/09/1997;01/02/2010;Desmantellada
Pla d'Urgell;Mollerussa;XI;41.61817;0.87182;247;20/01/2010;;Operativa
